,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
81,"Gallen, Zac",6.517738894,8.739362779,7.296877505,[0.08664821 0.4339683  0.29045971 0.18892378],"[[-0.75772842 3.09915816],[0.26369531 2.97413821],[0.22685398 2.20688643],[-0.70325229 2.1249794]]","[[[0.11597761 -0.10759274],[-0.10759274 0.16485573]]:[[0.2464374 -0.0784532],[-0.0784532 0.24245627]]:[[0.268403 -0.15588911],[-0.15588911 0.21909878]]:[[0.20965198 -0.12710429],[-0.12710429 0.22569786]]]"
13,"Kirby, George",5.78903298,9.087968533,7.314231264,[0.50665529 0.49334471],"[[0.57192861 2.64199579],[0.05687842 3.5383285]]","[[[0.3357824 0.00718403],[0.00718403 0.15994849]]:[[0.2563387 -0.01627067],[-0.01627067 0.17747888]]]"
71,"Kikuchi, Yusei",6.680428314,9.927333632,7.3468335,[0.15863164 0.11802884 0.30768806 0.1360715  0.27957996],"[[-0.78136757 2.16505919],[1.06617588  2.72877096],[ 0.14493542 2.63242502],[0.81526815 1.71583979],[0.25553905 3.50991432]]","[[[0.10621721 -0.06568415],[-0.06568415 0.30282644]]:[[0.12238262 0.11541013],[0.11541013 0.21576881]]:[[0.09452549 0.06600996],[0.06600996 0.27850449]]:[[0.29220197 0.14128223],[0.14128223 0.17550111]]:[[0.46331256 0.07757847],[0.07757847 0.20300204]]]"
48,"Taillon, Jameson",5.608396369,10.31518547,7.362918022,[0.69297373 0.30702627],"[[0.52149084 2.40154442],[-0.04856606 3.80503709]]","[[[0.25230655 -0.02873727],[-0.02873727 0.24237382]]:[[0.16950385 0.007778],[0.007778 0.23184839]]]"
54,"Farmer, Buck",6.049152217,10.29612167,7.463224976,[0.54133441 0.2790435  0.06490999 0.04968973 0.06502238],"[[0.03512213 2.91745379],[0.90912512 2.43572345],[-1.02111062 3.12361109],[0.5711206 1.76681293],[0.03931129 4.14370679]]","[[[0.18558829 -0.10394046],[-0.10394046 0.31645313]]:[[0.10690419 -0.11079313],[-0.11079313 0.24827643]]:[[0.00430544 0.00557437],[0.00557437 0.31141569]]:[[0.01363124 0.010251],[0.010251 0.00835916]]:[[0.56535379 -0.15639436],[-0.15639436 0.06638295]]]"
3,"Muller, Kyle",6.00061533,10.08374388,7.474558396,[0.2731833  0.31985351 0.40696319],"[[-0.49474581 1.852601],[0.13635923 3.01220893],[0.60229708 2.5264099]]","[[[0.22263027 -0.01500402],[-0.01500402 0.19354123]]:[[0.25462423 0.1035267],[0.1035267 0.28995329]]:[[0.18503938 0.08906293],[0.08906293 0.28843399]]]"
82,"Lynn, Lance",5.477832138,9.078140093,7.490475253,[0.51044645 0.48955355],"[[4.20099552e-01 2.45519343e+00],[-9.71841547e-04 3.29839862e+00]]","[[[0.26034085 -0.00817085],[-0.00817085 0.2378087]]:[[0.21960518 -0.02585391],[-0.02585391 0.26091535]]]"
69,"Williams, Trevor",5.873562048,8.968354918,7.51224782,[0.47967582 0.52032418],"[[-0.16598369 2.68876403],[0.64644249 2.65059829]]","[[[0.16708138 -0.06105294],[-0.06105294 0.33369856]]:[[0.15336468 -0.02608151],[-0.02608151 0.28902468]]]"
79,"Waldichuk, Ken",6.266801487,8.340569223,7.512941712,[0.29039041 0.1561687  0.13801422 0.41542667],"[[-0.3829036 3.02156683],[0.48574678 3.91454003],[-0.28717584 1.97773307],[0.53698896 2.79279001]]","[[[0.2292778 0.10120038],[0.10120038 0.20611421]]:[[0.40474565 -0.02577085],[-0.02577085 0.0753472]]:[[0.25959659 -0.00368824],[-0.00368824 0.14939354]]:[[0.2811446 0.04467926],[0.04467926 0.23805351]]]"
23,"Strahm, Matt",5.548838122,10.34841836,7.515923226,[0.10093298 0.30851195 0.59055507],"[[-0.8578287 2.61698115],[-0.08603455 2.07693684],[0.07658546 3.32436889]]","[[[0.04659557 -0.02602195],[-0.02602195 0.05438182]]:[[0.2614336 0.07455912],[0.07455912 0.16478539]]:[[0.30143381 0.05511623],[0.05511623 0.24434103]]]"
