,Pitcher,Control,Pis,Mus,Covariances
100,"Ryan, Joe",9.640504810139257,[0.48954257 0.51045743],"[[ 1.22594503  1.63065691]
 [-0.04018044  2.25231907]]","[[[ 0.29218602 -0.15794589]
  [-0.15794589  0.52856533]]

 [[ 0.24599932 -0.15674897]
  [-0.15674897  0.37337653]]]"
58,"Kaprielian, James",9.648080026161225,[0.23477778 0.38126368 0.38395854],"[[-0.14498316  2.21384335]
 [ 1.0899189   1.81285761]
 [ 0.5513727   1.75469696]]","[[[ 0.12963916 -0.11874074]
  [-0.11874074  0.2109444 ]]

 [[ 0.26055341 -0.14071702]
  [-0.14071702  0.41806495]]

 [[ 0.30800635  0.06084589]
  [ 0.06084589  0.32194476]]]"
38,"Cishek, Steve",9.648868027149117,[0.70629367 0.29370633],"[[ 0.94500902  1.81410052]
 [-0.61201792  2.45961897]]","[[[ 0.43428916 -0.0660964 ]
  [-0.0660964   0.24300818]]

 [[ 0.34889502 -0.08012901]
  [-0.08012901  0.15722097]]]"
86,"Gilbert, Logan",9.69601539894127,[0.14078937 0.6162788  0.15401103 0.0889208 ],"[[0.13155431 2.98863516]
 [0.30779493 1.86337255]
 [1.24353485 1.88004686]
 [0.74202239 0.45739136]]","[[[ 0.38732469  0.02495167]
  [ 0.02495167  0.08588883]]

 [[ 0.31913373 -0.17295728]
  [-0.17295728  0.39549325]]

 [[ 0.10842958 -0.00790012]
  [-0.00790012  0.15114167]]

 [[ 0.39572905 -0.02840683]
  [-0.02840683  0.06693108]]]"
14,"Scott, Tanner",9.700007538641728,[0.3392108 0.6607892],"[[-0.29076921  2.57410206]
 [-0.65983028  1.46879661]]","[[[0.29736124 0.085373  ]
  [0.085373   0.22343338]]

 [[0.35207385 0.05879347]
  [0.05879347 0.32113783]]]"
64,"Bellatti, Andrew",9.747929421412227,[0.45014271 0.54985729],"[[ 0.93151162  1.26362293]
 [-0.27478458  1.94616994]]","[[[ 0.26169845 -0.1657587 ]
  [-0.1657587   0.38800501]]

 [[ 0.29072785 -0.20464919]
  [-0.20464919  0.39653091]]]"
61,"Gausman, Kevin",9.815616955385991,[0.71323476 0.28676524],"[[0.48422503 1.89729804]
 [1.12344033 0.63141126]]","[[[ 0.40051667 -0.21011237]
  [-0.21011237  0.43722419]]

 [[ 0.29538957 -0.10832529]
  [-0.10832529  0.15763912]]]"
2,"Brasier, Ryan",9.820648978346698,[0.84638351 0.15361649],"[[ 0.58004033  1.5259202 ]
 [-0.07521814  2.84234953]]","[[[ 0.37109061 -0.13623276]
  [-0.13623276  0.42379368]]

 [[ 0.24107191 -0.05863746]
  [-0.05863746  0.06252357]]]"
13,"Santana, Dennis",9.829965807052634,[0.4060738 0.5939262],"[[-0.26103416  2.12234471]
 [ 0.97752593  1.61929283]]","[[[ 0.12934371 -0.04284492]
  [-0.04284492  0.41182264]]

 [[ 0.27211788 -0.08834385]
  [-0.08834385  0.47554889]]]"
98,"Kopech, Michael",9.874469255826355,[0.64535572 0.35464428],"[[0.31611377 2.46646799]
 [0.86638815 1.07422239]]","[[[ 0.42123543 -0.14454751]
  [-0.14454751  0.39575042]]

 [[ 0.24686425  0.00549902]
  [ 0.00549902  0.20751719]]]"
0,"Baker, Bryan",9.874717163292772,[0.73259791 0.26740209],"[[0.72005331 1.70702539]
 [0.62969802 2.72584762]]","[[[ 0.38205626 -0.10330336]
  [-0.10330336  0.2666035 ]]

 [[ 0.54729885 -0.06075203]
  [-0.06075203  0.09932596]]]"
54,"Davidson, Tucker",9.929661365552732,[0.38695246 0.61304754],"[[ 0.06310632  1.1555184 ]
 [-0.11295705  2.14135961]]","[[[0.31740825 0.08054262]
  [0.08054262 0.2172484 ]]

 [[0.32321425 0.08484838]
  [0.08484838 0.28276227]]]"
45,"Greene, Hunter",9.976025835463828,[0.35793742 0.64206258],"[[0.8847397  1.02444792]
 [0.34554771 2.1215183 ]]","[[[ 0.44498906 -0.03689432]
  [-0.03689432  0.27632306]]

 [[ 0.3045992  -0.1287508 ]
  [-0.1287508   0.30398097]]]"
18,"Cessa, Luis",9.978622814908444,[0.47398647 0.13236325 0.39365028],"[[0.67288198 1.83383185]
 [0.15871896 3.09054719]
 [0.61274778 1.62429948]]","[[[ 0.1925306  -0.01042157]
  [-0.01042157  0.36956455]]

 [[ 0.09808855  0.04244754]
  [ 0.04244754  0.04908406]]

 [[ 0.20232438 -0.23855728]
  [-0.23855728  0.44692683]]]"
26,"Pallante, Andre",9.995325094419139,[0.52554831 0.47445169],"[[ 1.00380024  1.91973801]
 [-0.02122836  2.26639609]]","[[[ 0.21492161 -0.13577274]
  [-0.13577274  0.64976612]]

 [[ 0.11447289 -0.02295893]
  [-0.02295893  0.49285887]]]"
63,"Bradish, Kyle",10.037782724909217,[0.67935774 0.32064226],"[[0.68611833 1.3954238 ]
 [0.27109542 2.88603823]]","[[[ 0.32946828 -0.07172607]
  [-0.07172607  0.47995478]]

 [[ 0.30707455 -0.11452282]
  [-0.11452282  0.1792803 ]]]"
56,"Márquez, Germán",10.149727925197189,[0.85964494 0.14035506],"[[0.27622869 2.28545058]
 [0.8914225  0.83388615]]","[[[ 0.31595388 -0.17157997]
  [-0.17157997  0.36441031]]

 [[ 0.18670527 -0.03056089]
  [-0.03056089  0.0863751 ]]]"
24,"De Jong, Chase",10.156046477994396,[0.63963782 0.36036218],"[[0.46532305 2.36204366]
 [0.65239644 1.17761115]]","[[[ 0.37222965 -0.15026291]
  [-0.15026291  0.3324539 ]]

 [[ 0.44330083 -0.09838826]
  [-0.09838826  0.23914081]]]"
87,"Doval, Camilo",10.235105849621734,[0.60523103 0.39476897],"[[0.30652219 2.34438515]
 [1.0543487  1.43632437]]","[[[ 0.57310965  0.03173659]
  [ 0.03173659  0.18336496]]

 [[ 0.37845058 -0.02835459]
  [-0.02835459  0.16631156]]]"
11,"Rogers, Tyler",10.256019070236373,[0.73310408 0.26689592],"[[ 0.59522037  2.91175078]
 [-0.03999533  1.54780931]]","[[[0.43830026 0.12005733]
  [0.12005733 0.32092268]]

 [[0.52062452 0.01714231]
  [0.01714231 0.14224121]]]"
95,"Minor, Mike",10.302696121507061,[0.73940647 0.26059353],"[[-0.07854838  2.70947313]
 [-1.07087724  1.61726066]]","[[[ 0.39425042 -0.02993005]
  [-0.02993005  0.43439974]]

 [[ 0.26130828 -0.01592377]
  [-0.01592377  0.21419593]]]"
