,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
81,"Steele, Justin",7.47601249,11.15137003,8.494849531,[0.19570799 0.59849524 0.20579677],"[[0.03512239 1.90623892],[-0.76826172 1.55049373],[0.45054503 2.6040594]]","[[[0.14582137 -0.13973166],[-0.13973166 0.48025568]]:[[0.20009792 0.01524476],[0.01524476 0.50324834]]:[[0.12625558 0.03907685],[0.03907685 0.21552232]]]"
52,"Brash, Matt",7.769170637,11.70612048,8.502099159,[0.29449319 0.53349102 0.17201579],"[[6.39146293e-01 2.55295007e+00],[1.16326540e+00 1.83179826e+00],[2.15471837e-04 3.34262624e+00]]","[[[0.32807273 0.15462174],[0.15462174 0.24226652]]:[[0.43180752 -0.0918861],[-0.0918861 0.38105716]]:[[0.20110534 -0.02910405],[-0.02910405 0.0825438]]]"
79,"Gray, Josiah",5.437133284,10.40030864,8.517393385,[0.37925002 0.62074998],"[[0.97001119 1.61124886],[-0.12577811 1.79486499]]","[[[0.1517156 -0.09302364],[-0.09302364 0.42057472]]:[[0.23547174 -0.100686],[-0.100686 0.42776202]]]"
65,"Maeda, Kenta",6.673916559,9.800817749,8.549869693,[0.13749781 0.86250219],"[[1.37658226 0.78712453],[0.6517449 2.08235142]]","[[[0.2108461 -0.01205991],[-0.01205991 0.05279031]]:[[0.36241473 -0.08213188],[-0.08213188 0.28401852]]]"
62,"Ortiz, Luis L.",6.353550657,10.67059906,8.563163997,[0.12363231 0.23318902 0.64317867],"[[-0.25527241 2.92493738],[0.24070962 1.39062507],[0.69100625 1.41691434]]","[[[0.19270755 -0.0120804],[-0.0120804 0.03034598]]:[[0.4544905 -0.31397397],[-0.31397397 0.25607714]]:[[0.28495111 -0.09505364],[-0.09505364 0.35245108]]]"
47,"Verlander, Justin",5.98247246,8.642063371,8.583063665,[1.],[[0.60767802 1.85312693]],"[[[0.19407517 -0.05473237],[-0.05473237 0.47832094]]]"
109,"Ashcraft, Graham",6.908063619,11.91027563,8.678371101,[0.04689456 0.58826386 0.28371152 0.08113006],"[[0.64830952 3.16968303],[0.78576081 1.55173251],[-0.06089229 2.29763638],[-0.44801614 3.48862986]]","[[[0.08925226 -0.01064611],[-0.01064611 0.0293042]]:[[0.37119292 -0.14701612],[-0.14701612 0.57738311]]:[[0.2427853 0.03005699],[0.03005699 0.28404888]]:[[0.09525905 -0.0668239],[-0.0668239 0.09712562]]]"
9,"Giolito, Lucas",6.231778058,10.75348916,8.678428909,[0.29056853 0.70943147],"[[0.83506641 0.7742311],[0.51379327 2.10179211]]","[[[0.21483908 -0.05775484],[-0.05775484 0.23096359]]:[[0.23876711 -0.12728785],[-0.12728785 0.48222523]]]"
73,"Rodriguez, Grayson",7.094162578,11.76379652,8.692241528,[0.47083016 0.52916984],"[[0.33298804 2.57966151],[1.06166534 1.29195539]]","[[[0.3674201 0.01666887],[0.01666887 0.25999552]]:[[0.27096652 -0.03681399],[-0.03681399 0.33618877]]]"
44,"Sims, Lucas",6.337470004,11.3331528,8.70582586,[0.19828987 0.62827409 0.17343604],"[[1.51360255 1.38397811],[0.35240384 2.1150597],[0.66351871 2.9945469]]","[[[0.1638871 -0.0224318],[-0.0224318 0.17494764]]:[[0.36265534 -0.16519142],[-0.16519142 0.37654803]]:[[0.66120969 -0.24133923],[-0.24133923 0.12314568]]]"
