,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
107,"Kelly, Merrill",5.778318532544798,10.036955446373865,7.6283925264223305,[0.3289817  0.24258044 0.42843786],"[[-0.50552628  2.749175  ]
 [ 0.63343564  2.6418159 ]
 [-0.32340881  2.01527952]]","[[[ 0.27722947 -0.11815932]
  [-0.11815932  0.13868203]]

 [[ 0.22181336 -0.22699753]
  [-0.22699753  0.42711523]]

 [[ 0.29768929 -0.13275643]
  [-0.13275643  0.1772491 ]]]"
36,"Giolito, Lucas",6.620470496703936,10.84199667963461,7.6433912550829515,[0.34369738 0.52356062 0.132742  ],"[[-0.11563603  3.7030655 ]
 [-0.10814263  2.45644002]
 [ 0.41876092  1.55940412]]","[[[0.26187248 0.00755113]
  [0.00755113 0.27339162]]

 [[0.23433123 0.03665908]
  [0.03665908 0.31180112]]

 [[0.11640479 0.02919125]
  [0.02919125 0.10234316]]]"
137,"deGrom, Jacob",5.390401911461845,9.099158945687929,7.65415656911332,[0.58858969 0.41141031],"[[0.24692091 3.32224691]
 [0.36573662 2.41735125]]","[[[ 0.35504533 -0.01406217]
  [-0.01406217  0.15007432]]

 [[ 0.42568944 -0.00894159]
  [-0.00894159  0.18360106]]]"
63,"Javier, Cristian",6.253573213671805,10.507552212386123,7.662070005658122,[0.37755121 0.15179476 0.30366137 0.16699266],"[[-0.2518924   2.75255513]
 [-0.73275281  3.52565647]
 [-0.96529294  3.44129959]
 [ 0.35847601  2.28136208]]","[[[0.16135323 0.1083149 ]
  [0.1083149  0.27345627]]

 [[0.40191387 0.07651983]
  [0.07651983 0.03881841]]

 [[0.208139   0.01673354]
  [0.01673354 0.35854817]]

 [[0.13755268 0.02075825]
  [0.02075825 0.14931253]]]"
76,"Castillo, Luis",6.125748741553522,10.780065833584434,7.663391218714162,[0.14354094 0.29008965 0.4035377  0.1628317 ],"[[-0.35825999  3.98674911]
 [ 0.33247017  2.3701299 ]
 [ 0.19899521  3.227978  ]
 [-0.99120772  2.74850592]]","[[[ 0.45600935 -0.05774361]
  [-0.05774361  0.05996675]]

 [[ 0.40158773 -0.11892046]
  [-0.11892046  0.17635521]]

 [[ 0.44776019 -0.04176583]
  [-0.04176583  0.17082197]]

 [[ 0.08898275 -0.09115158]
  [-0.09115158  0.33084529]]]"
7,"Bard, Daniel",5.594899910313247,9.449610342705434,7.669909184603911,[0.36607297 0.63392703],"[[ 0.32406257  2.6064261 ]
 [-0.69928273  3.05998002]]","[[[ 0.19735246  0.07642108]
  [ 0.07642108  0.22535831]]

 [[ 0.29831577 -0.00334687]
  [-0.00334687  0.27877903]]]"
95,"Rasmussen, Drew",5.851891764603914,10.022250591750513,7.701634341459918,[0.48898345 0.51101655],"[[-0.09915297  3.31851032]
 [ 0.40982272  2.30994342]]","[[[0.31461755 0.02602048]
  [0.02602048 0.21932713]]

 [[0.23192917 0.02651274]
  [0.02651274 0.22525794]]]"
130,"Heaney, Andrew",5.638016803955612,10.750070238232734,7.704790970761483,[0.24554739 0.51253761 0.241915  ],"[[ 0.26239011  2.2661536 ]
 [-0.24709577  2.94398523]
 [ 1.15487386  3.35653559]]","[[[ 0.14230855  0.00685226]
  [ 0.00685226  0.20120168]]

 [[ 0.30894537  0.15433384]
  [ 0.15433384  0.41543486]]

 [[ 0.09464153 -0.04729673]
  [-0.04729673  0.31063351]]]"
66,"Megill, Tylor",6.5270432364066595,10.228838876055363,7.749603076286158,[0.17806956 0.13200385 0.68992659],"[[-0.69569611  3.66417819]
 [ 0.59571321  3.34529472]
 [-0.23618853  2.47312694]]","[[[ 0.18122071 -0.01855631]
  [-0.01855631  0.06781635]]

 [[ 0.08924286 -0.11736983]
  [-0.11736983  0.31324653]]

 [[ 0.30974275 -0.01843746]
  [-0.01843746  0.28756651]]]"
101,"Plesac, Zach",6.080707051910695,10.504231516664193,7.7579168225851625,[0.29257251 0.25929236 0.44813513],"[[ 0.37693215  2.57847105]
 [-0.47480401  3.67378697]
 [-0.49634602  2.56323919]]","[[[0.16925322 0.05323271]
  [0.05323271 0.36962404]]

 [[0.35618895 0.09227761]
  [0.09227761 0.15996559]]

 [[0.19916898 0.00837905]
  [0.00837905 0.25526343]]]"
