,Pitcher,Control,Pis,Mus,Covariances
111,"Williams, Gavin",8.959320549,"[0.49581343,0.38723856,0.11694801]","[[-0.57568739,2.52927722],[-0.43501419,3.40732064],[0.61008774,2.61414544]]","[[[0.29864717,-0.06267563],[-0.06267563,0.1532159]],[[0.34431577,-0.05761326],[-0.05761326,0.23841402]],[[0.05698415,0.06672148],[0.06672148,0.36340991]]]"
13,"Seabold, Connor",8.9808367,"[0.44959909,0.55040091]","[[-0.38617835,3.14574496],[-0.13771099,2.2880387]]","[[[0.35280141,0.00062148],[0.00062148,0.17298219]],[[0.29664283,-0.00447135],[-0.00447135,0.17649177]]]"
67,"Luzardo, Jesús",9.004357983,"[0.08337691,0.31357592,0.60304718]","[[0.82250208,3.30565651],[-0.08812804,1.89811422],[-0.58444977,2.74363082]]","[[[0.01438048,0.02877813],[0.02877813,0.16423205]],[[0.40803652,0.13134284],[0.13134284,0.12448406]],[[0.22008149,0.14118875],[0.14118875,0.3758836]]]"
126,"Gonsolin, Tony",9.020881264,"[0.66916291,0.33083709]","[[-0.12470275,3.21704806],[0.06472886,2.07122791]]","[[[0.25381435,0.00640477],[0.00640477,0.25924391]],[[0.38050276,-0.01222811],[-0.01222811,0.15383177]]]"
35,"Megill, Tylor",9.024963931,"[0.31558526,0.46753789,0.21687685]","[[-0.24860761,3.51242193],[-0.37743052,2.58181592],[0.75558173,2.34418312]]","[[[0.40109403,-0.05725525],[-0.05725525,0.1657346]],[[0.25416281,-0.03119725],[-0.03119725,0.26440276]],[[0.14117336,0.03218726],[0.03218726,0.29620687]]]"
8,"De Los Santos, Enyel",9.041609374,"[0.56933734,0.43066266]","[[-0.31635792,2.24049441],[-0.30990432,3.07666534]]","[[[0.28530752,-0.04051306],[-0.04051306,0.14149306]],[[0.3224733,-0.09355855],[-0.09355855,0.13979693]]]"
90,"Lugo, Seth",9.044507678,"[0.50981555,0.49018445]","[[-0.22224646,3.15548867],[-0.13760218,2.18061373]]","[[[0.33616259,-0.01039346],[-0.01039346,0.18686179]],[[0.33841924,0.02440421],[0.02440421,0.21331908]]]"
112,"Bibee, Tanner",9.05977175,"[0.31251317,0.5555784,0.13190843]","[[0.03849677,3.5949722],[-0.07884664,2.41952498],[-0.88335408,2.96254778]]","[[[0.35837358,-0.08228398],[-0.08228398,0.17024099]],[[0.34536734,0.00341151],[0.00341151,0.24121154]],[[0.184933,-0.07523764],[-0.07523764,0.13250968]]]"
81,"Pfaadt, Brandon",9.089466333,"[0.7477974,0.07247232,0.17973028]","[[0.08210854,2.53225774],[-0.21889535,3.99963616],[-1.05659702,2.98498302]]","[[[0.34120214,-0.00431907],[-0.00431907,0.28605126]],[[0.46813991,0.00418841],[0.00418841,0.02800702]],[[0.06591996,-0.0110425],[-0.0110425,0.31406714]]]"
26,"Greinke, Zack",9.101125885,"[0.64289549,0.35710451]","[[-0.33956041,2.93019077],[-0.28505464,2.00573685]]","[[[0.36779266,0.00504799],[0.00504799,0.2568028]],[[0.3067739,-0.0033611],[-0.0033611,0.10692402]]]"
78,"Bello, Brayan",9.12515881,"[0.61103648,0.38896352]","[[0.02791589,2.61387622],[-0.19880086,3.80396185]]","[[[0.32995249,0.01331006],[0.01331006,0.22533429]],[[0.34426095,-0.03702094],[-0.03702094,0.23895877]]]"
41,"Gibaut, Ian",9.136422996,"[0.58938126,0.41061874]","[[0.01402265,2.47838219],[-0.17113716,3.45899671]]","[[[0.32955036,-0.04500028],[-0.04500028,0.27775289]],[[0.22568142,-0.08010694],[-0.08010694,0.21793796]]]"
31,"Morgan, Eli",9.160069125,"[0.79314465,0.20685535]","[[-0.04269503,2.8236544],[0.00708293,4.08259213]]","[[[0.30053949,-0.09672463],[-0.09672463,0.29753724]],[[0.33112852,-0.09349003],[-0.09349003,0.09712266]]]"
51,"Cabrera, Edward",9.16061018,"[0.40977939,0.29127487,0.29894574]","[[-0.66754311,3.20514493],[0.47122646,3.53777964],[0.24385021,2.30859686]]","[[[0.15693064,-0.0099409],[-0.0099409,0.53438849]],[[0.06122165,-0.06500913],[-0.06500913,0.44552335]],[[0.30670368,0.01237186],[0.01237186,0.37294318]]]"
27,"Smith, Drew",9.160770497,"[0.30789948,0.23044016,0.46166035]","[[-0.77209787,2.46200402],[0.31008243,2.42010323],[-0.20246185,3.71349183]]","[[[0.20203275,-0.20581154],[-0.20581154,0.40030508]],[[0.27030839,-0.08726214],[-0.08726214,0.11630945]],[[0.32140964,-0.08523338],[-0.08523338,0.40480985]]]"
4,"Houser, Adrian",9.210730049,"[0.71037818,0.10375415,0.18586767]","[[0.27937534,3.27739195],[-1.01343372,2.88350947],[-0.40528512,2.2894026]]","[[[0.32052356,-0.151491],[-0.151491,0.3672424]],[[0.01263199,-0.04073641],[-0.04073641,0.52685246]],[[0.23000768,-0.12910709],[-0.12910709,0.21188531]]]"
97,"Steele, Justin",9.227931505,"[0.14949608,0.85050392]","[[-0.48155065,1.68166157],[-0.07160653,2.91323131]]","[[[0.26575354,-0.03904156],[-0.03904156,0.10843921]],[[0.34531991,0.0534341],[0.0534341,0.31470457]]]"
109,"Pérez, Eury",9.244987371,"[0.5029819,0.4970181]","[[-0.30539785,2.98665049],[-0.09121655,2.01026157]]","[[[0.29777515,0.07139907],[0.07139907,0.26940631]],[[0.38785606,0.01974871],[0.01974871,0.195575]]]"
16,"Montero, Rafael",9.266159367,"[0.57084586,0.42915414]","[[-0.14357829,2.51733749],[0.05302001,3.59513335]]","[[[0.41617314,-0.01656895],[-0.01656895,0.17398295]],[[0.42961697,-0.07139625],[-0.07139625,0.17472819]]]"
32,"Flaherty, Jack",9.271414716,"[0.14630249,0.56258231,0.29111521]","[[-0.09788863,3.65285946],[-0.68549658,2.68556958],[0.14373042,2.23553882]]","[[[0.16965639,-0.08203415],[-0.08203415,0.11158739]],[[0.23155394,0.00474577],[0.00474577,0.41885711]],[[0.15982159,0.02855588],[0.02855588,0.25823564]]]"
125,"Ohtani, Shohei",9.275504684,"[0.679815,0.320185]","[[-0.14894305,2.78962505],[0.38639997,1.8358687]]","[[[0.29548347,-0.02055034],[-0.02055034,0.26684968]],[[0.16138438,0.04965354],[0.04965354,0.12858554]]]"
2,"Bradish, Kyle",9.27713338,"[0.35774372,0.64225628]","[[-0.41002926,3.46839781],[-0.36880374,2.34665403]]","[[[0.19127161,-0.062254],[-0.062254,0.28504073]],[[0.25158332,-0.04808796],[-0.04808796,0.2798815]]]"
3,"Sears, JP",9.296846119,"[0.28074911,0.71925089]","[[0.65713301,3.19996002],[-0.59722476,2.67010821]]","[[[0.19586621,-0.05371328],[-0.05371328,0.28982025]],[[0.30750432,0.02075549],[0.02075549,0.38753016]]]"
93,"Olson, Reese",9.346995792,"[0.08432294,0.27738634,0.63829072]","[[-0.51760021,3.99716616],[0.41740247,2.67912852],[-0.57200038,2.445812]]","[[[0.15226834,0.05421163],[0.05421163,0.03442187]],[[0.10539768,0.10759926],[0.10759926,0.57717265]],[[0.18699196,0.0213746],[0.0213746,0.44338795]]]"
