,Pitcher,NinetyFive,Five,"Median,Control",Pis,Mus,Covariances
43,"Smith, Caleb",6.402701679,11.24113377,7.565333518,"[0.13425556,0.24637086,0.44441843,0.17495515]","[[-0.4102335,1.53722047],[0.53313884,2.87932543],[-0.61524052,2.60233882],[0.02940537,3.80449897]]","[[[0.48288123,0.05830858],[0.05830858,0.05659888]],[[0.22993939,0.06442801],[0.06442801,0.34001132]],[[0.29315795,-0.0024123],[-0.0024123,0.17661255]],[[0.37634763,0.11458006],[0.11458006,0.10119527]]]"
85,"Means, John",6.721021167,8.969651489,7.567690905,"[0.13270853,0.29393256,0.1827079,0.39065101]","[[-0.85585823,2.07742292],[0.23971122,2.91853708],[0.91980944,2.60817119],[-0.8593097,3.13021053]]","[[[0.46918893,-0.0776542],[-0.0776542,0.09556969]],[[0.08951177,-0.0352319],[-0.0352319,0.38762311]],[[0.11902188,0.06659574],[0.06659574,0.31566817]],[[0.21548652,0.01773446],[0.01773446,0.28169328]]]"
196,"Minor, Mike",6.31854655,10.1465602,7.586097545,"[0.40128624,0.34830931,0.25040445]","[[-0.62048674,2.62639659],[-0.1608492,3.67538761],[0.48204123,2.82028285]]","[[[0.185513,0.02973268],[0.02973268,0.2652634]],[[0.30549193,-0.04270446],[-0.04270446,0.24093552]],[[0.162128,0.06300404],[0.06300404,0.45051964]]]"
91,"McClanahan, Shane",6.278402612,10.6316616,7.588704216,"[0.48609824,0.29539839,0.21850337]","[[0.49223191,3.17480582],[-0.45488061,2.29711492],[0.20521516,1.81564765]]","[[[0.29687091,-0.08532452],[-0.08532452,0.33318949]],[[0.11507149,0.01021392],[0.01021392,0.30797017]],[[0.19877196,-0.027585],[-0.027585,0.16234691]]]"
140,"Bumgarner, Madison",6.12565424,10.29538019,7.620625627,"[0.62630939,0.14110407,0.23258654]","[[-0.42401714,2.5136435],[0.12837026,3.65180528],[0.64611652,2.2538041]]","[[[0.30544408,0.06240956],[0.06240956,0.23850272]],[[0.26643745,-0.0082409],[-0.0082409,0.06599427]],[[0.19902992,0.1355939],[0.1355939,0.27391253]]]"
63,"Hoffman, Jeff",5.987054484,10.15692385,7.640044514,"[0.08729395,0.03590827,0.71044177,0.16635601]","[[0.40267649,1.11612712],[-0.5014339,3.96822664],[0.49586275,2.58527463],[-0.37690214,2.32102758]]","[[[0.28418565,-0.01554881],[-0.01554881,0.01921986]],[[0.02211357,0.01185992],[0.01185992,0.10453272]],[[0.12913363,-0.02242458],[-0.02242458,0.46315675]],[[0.03875752,-0.00089315],[-0.00089315,0.1441819]]]"
150,"Plesac, Zach",5.882578354,10.26081819,7.649784937,"[0.65373842,0.17327467,0.17298691]","[[0.47284902,2.29324616],[-0.60833758,2.92434323],[0.30044068,3.48085285]]","[[[0.26746074,-0.05684161],[-0.05684161,0.27916443]],[[0.16401501,-0.06959159],[-0.06959159,0.43260666]],[[0.27482764,-0.00764468],[-0.00764468,0.13806764]]]"
155,"Gilbert, Logan",6.042209988,9.631961451,7.654239591,"[0.39846612,0.47514791,0.12638598]","[[0.47266774,2.45965145],[-0.29241967,2.51262034],[-0.14958989,3.57335214]]","[[[0.21534416,-0.03673188],[-0.03673188,0.32738541]],[[0.21251813,0.02825563],[0.02825563,0.23411309]],[[0.30002583,0.02893513],[0.02893513,0.05343747]]]"
37,"Pivetta, Nick",6.349638246,10.86082419,7.655914031,"[0.38236747,0.39204532,0.15472616,0.07086105]","[[-0.12502077,2.31448],[0.03636615,3.42346933],[0.78542468,2.71084989],[1.05565924,1.71473477]]","[[[0.25062846,-0.1056642],[-0.1056642,0.32478048]],[[0.26769752,-0.10847183],[-0.10847183,0.24456914]],[[0.0962883,0.09881845],[0.09881845,0.32224334]],[[0.02996231,0.00833836],[0.00833836,0.09567813]]]"
197,"Harvey, Matt",5.835282381,9.612028708,7.659480797,"[0.3676065,0.17053422,0.46185928]","[[-0.0798273,2.39057423],[0.98390388,1.99687668],[0.2550553,3.00300613]]","[[[0.36293785,0.00990239],[0.00990239,0.30698778]],[[0.09753474,-0.0374481],[-0.0374481,0.09795664]],[[0.30940375,-0.06217048],[-0.06217048,0.19647061]]]"
123,"Allard, Kolby",6.053332779,10.15319691,7.661625428,"[0.37380894,0.52548195,0.10070911]","[[0.22433492,3.28760188],[-0.43886904,2.24753381],[0.55605182,2.02436071]]","[[[0.35088282,-0.01052971],[-0.01052971,0.20590269]],[[0.20779996,0.04834826],[0.04834826,0.2712807]],[[0.09184023,-0.01644709],[-0.01644709,0.19689731]]]"
204,"Helsley, Ryan",6.624608109,11.1203914,7.669646119,"[0.22034239,0.31246331,0.4671943]","[[0.5316117,1.30024826],[-0.5472854,2.93308013],[0.16076825,2.24125224]]","[[[0.13105387,0.02568023],[0.02568023,0.18001992]],[[0.17333297,0.10939701],[0.10939701,0.60301886]],[[0.13835737,0.11878387],[0.11878387,0.31178115]]]"
178,"Hernández, Carlos",6.698854937,10.79164671,7.677051167,"[0.51831237,0.35589205,0.12579559]","[[-0.39492461,3.19724548],[0.62226797,2.80450419],[0.10478027,1.74183925]]","[[[0.16640894,-0.06324719],[-0.06324719,0.29163824]],[[0.19515042,0.02252409],[0.02252409,0.35352743]],[[0.51655515,-0.11466571],[-0.11466571,0.08059664]]]"
47,"Hendriks, Liam",6.320413052,9.194313224,7.680562446,"[0.43290672,0.56709328]","[[0.51690271,2.64542625],[-0.34736685,2.98500662]]","[[[0.15955705,0.02522197],[0.02522197,0.38291306]],[[0.12591887,0.09655703],[0.09655703,0.35507364]]]"
74,"Flexen, Chris",6.31515409,10.72533717,7.705890543,"[0.26182212,0.57084631,0.16733157]","[[-0.8253546,2.74639815],[0.37498897,2.36077635],[0.17836786,3.5473312]]","[[[0.09630369,0.00993515],[0.00993515,0.50009616]],[[0.23410756,0.03146987],[0.03146987,0.33948735]],[[0.09773318,0.01239639],[0.01239639,0.14792994]]]"
56,"Rodríguez, Richard",5.861665407,9.467883399,7.719723585,"[0.73529085,0.26470915]","[[0.19927894,3.03616695],[0.8380721,2.13170148]]","[[[0.31613513,-0.00234126],[-0.00234126,0.25556076]],[[0.21887543,0.03771949],[0.03771949,0.13239091]]]"
172,"Márquez, Germán",5.980694893,10.0674273,7.724013474,"[0.40356732,0.47733919,0.11909349]","[[-0.30743161,2.81018347],[0.56829652,2.57008179],[0.12176005,1.36768638]]","[[[0.11021132,-0.05523548],[-0.05523548,0.29964845]],[[0.18950965,-0.11178988],[-0.11178988,0.39392481]],[[0.41023412,-0.03904861],[-0.03904861,0.03606882]]]"
166,"Ruiz, José",6.042931557,10.25219757,7.743616595,"[0.30229035,0.08451491,0.61319475]","[[0.86433987,2.6692363],[0.19332359,1.40969526],[-0.12882183,2.96516522]]","[[[0.08290652,-0.05080607],[-0.05080607,0.43603324]],[[0.0892035,-0.00163871],[-0.00163871,0.06065292]],[[0.19378199,-0.0501397],[-0.0501397,0.35226254]]]"
207,"Duffy, Danny",6.007911294,10.48763889,7.761562616,"[0.67995167,0.16047054,0.15957779]","[[0.09381802,3.32309512],[-0.75246339,2.0554945],[-0.9241951,3.05288171]]","[[[0.1556506,-0.03330552],[-0.03330552,0.45625168]],[[0.15033654,0.01396671],[0.01396671,0.10824705]],[[0.06863035,-0.09090086],[-0.09090086,0.21702474]]]"
200,"Gomber, Austin",6.069226145,11.06808878,7.762547604,"[0.48160552,0.32410121,0.10829038,0.08600289]","[[-0.60001031,2.2875329],[0.30436908,3.05970556],[-0.31145966,3.71910752],[0.68649384,1.80801634]]","[[[0.14559529,-0.06226251],[-0.06226251,0.4698575]],[[0.12248381,0.08158747],[0.08158747,0.36892509]],[[0.0769194,-0.0359946],[-0.0359946,0.17235239]],[[0.0350013,0.0227845],[0.0227845,0.25332716]]]"
98,"Megill, Tylor",6.115279607,9.925594141,7.767576471,"[0.53073771,0.14378021,0.32548208]","[[0.05179884,2.67744241],[0.72961568,3.05889651],[0.40371162,1.73629876]]","[[[0.27832661,-0.0884414],[-0.0884414,0.21887325]],[[0.21205848,-0.14114283],[-0.14114283,0.13161103]],[[0.46840627,0.02450029],[0.02450029,0.0966136]]]"
