Pitcher,Control,Year,Z
"Edwards Jr., Carl",8.950839128,2022,-1.004078341
"Bickford, Phil",8.953874669,2023,-1.007852931
"Irvin, Jake",8.953883292,2023,-1.007863653
"Morton, Charlie",8.956510651,2023,-1.011130684
"Oviedo, Johan",8.96360249,2023,-1.019949141
"Patiño, Luis",8.99234732,2021,-1.055692344
"Ohtani, Shohei",9.013686355,2022,-1.082226697
"Plesac, Zach",9.015062217,2022,-1.083937534
"Contreras, Roansy",9.018667737,2022,-1.088420874
"Ohtani, Shohei",9.020129907,2021,-1.090239032
"Wacha, Michael",9.022375749,2022,-1.093031659
"Strickland, Hunter",9.040723124,2022,-1.115845986
"Berríos, José",9.046008421,2021,-1.12241807
"Heasley, Jonathan",9.046083087,2022,-1.122510915
"Otto, Glenn",9.069319712,2022,-1.151404856
"Estévez, Carlos",9.092954596,2022,-1.180794018
"Díaz, Alexis",9.097415542,2022,-1.18634105
"Pagán, Emilio",9.122373572,2023,-1.217375499
"González, Chi Chi",9.122389766,2021,-1.217395636
"DeSclafani, Anthony",9.154494658,2021,-1.25731696
"Kaprielian, James",9.161122444,2021,-1.265558383
"López, Reynaldo",9.168522559,2021,-1.274760171
"Bautista, Félix",9.169304085,2023,-1.275731972
"Clevinger, Mike",9.172398315,2022,-1.27957954
"De Jong, Chase",9.177188955,2022,-1.285536535
"Gray, Josiah",9.186982214,2021,-1.297714115
"Kimbrel, Craig",9.240528391,2021,-1.364296937
"Hutchison, Drew",9.25120754,2022,-1.37757609
"Keller, Brad",9.290893297,2021,-1.426923958
"Robles, Hansel",9.293891517,2021,-1.430652141
"Curry, Xzavion",9.295025104,2023,-1.432061718
"Díaz, Alexis",9.305831538,2023,-1.445499145
"Knebel, Corey",9.309849758,2022,-1.450495663
"Stanek, Ryne",9.314779598,2023,-1.456625749
"Peralta, Freddy",9.324424237,2022,-1.468618525
"Musgrove, Joe",9.380363991,2022,-1.538177677
"Flexen, Chris",9.396634589,2023,-1.558409604
"Pallante, Andre",9.398859636,2023,-1.561176373
"Harvey, Hunter",9.406044401,2022,-1.57011038
"Darvish, Yu",9.419951287,2022,-1.587403113
"Voth, Austin",9.431702757,2021,-1.60201566
"Jiménez, Joe",9.444648465,2022,-1.618113201
"Yates, Kirby",9.45206725,2023,-1.627338204
"Stephan, Trevor",9.471367537,2021,-1.651337445
"Pagán, Emilio",9.489163456,2022,-1.673466055
"Howard, Spencer",9.500698442,2021,-1.687809412
"Ynoa, Huascar",9.513265211,2021,-1.703435755
"Estévez, Carlos",9.533832839,2021,-1.729010891
"Brothers, Rex",9.547292148,2021,-1.745747077
"Stanek, Ryne",9.582098053,2021,-1.789027018
"Díaz, Edwin",9.626979522,2021,-1.844835575
"Maton, Phil",9.634657321,2021,-1.854382653
"Feltner, Ryan",9.645086637,2022,-1.867351147
"Archer, Chris",9.661265384,2022,-1.88746886
"Bumgarner, Madison",9.79938791,2022,-2.059219452
"Manoah, Alek",9.836034392,2021,-2.104788088
"Keller, Brad",9.923089314,2022,-2.213037877
"Karinchak, James",10.16639534,2021,-2.51558052
"Romano, Jordan",10.26241748,2021,-2.634980735
"Neris, Héctor",10.31835289,2023,-2.704534486
"Manning, Matt",10.79056892,2021,-3.291718815
"Oviedo, Johan",10.83205007,2021,-3.343299193
